제천대성	齊天大聖
집행위원 Q와 사이가 좋지 않은것으로 보여지며, 바람의 힘으로 이루어진 차력을 사용한다. 박무진(봉)을 매우 잘 따르며 초대장을 전달하는 과정에서 진모리에게 팔이 부러진 전적이 있다.	與執行委員Q的關係很僵,並使用風為其借力。對朴武真(峰)忠心耿耿,在轉達請帖的過程中與陳毛利交手而手臂骨折。
유일한 여성 집행위원이자 박무진(봉)의원의 비서로, 차력으로 만든 실을 이용하며 그녀의 마음대로 다룰수 있는 인형 마리오네트를 다루는 독특한 기술을 지니고 있다.	她是唯一一位女性執行委員,也是朴武真(峰)議員的秘書,使用借力製作的線,並擁有可隨意支配牽線木偶的獨有技能。
심봉사라 불리는 집행위원 T, 심연 속에서 검술을 익힌 그는 자신의 빛을 앗아간 월광검법 계승자인 유미라에게 월광검법의 힘과 흐름에 대해 설명을 해준 인물이기도 하다.	在深淵中練就高超劍法的執行委員T,還是向奪去自己雙眼的月光劍法繼承人劉美羅講述月光劍法的力量和趨勢的人。
전국대회의 사회자인 집행위원 X.. 열혈 성격을 지니고 있는 그는 압도적인 실력을 자랑하며 흥분하고 난입한 참가자들을 가뿐하게 제압하는 상당한 실력의 소유자이다.	主持全國聯賽的執行委員X是一位血氣方剛之人,他可以輕鬆制伏那些興奮而擅自闖入大賽的參賽者。
평소 싸움을 즐기지는 않지만 베스트 컨디션일땐 집행위원 중 꺽을 수 있는 자가 없다고 한다. 차력으로 드래곤 창식이를 소환하며, 집행위원 R도 이겼다는 후문이 전해진다.	他不喜歡打鬥,不過當身體處於最佳狀態時,沒有哪位執行委員能打過他。他召喚紅龍昌植作為其借力,甚至還打贏了執行委員R。
집행위원 R과 사이가 좋지 않으며, 카드와 조커를 이용한 그의 특별한 전투방식은 집행위원 S 보다 까다롭다고 평가받곤 한다. 하지만 자신의 집에서 전투 후 여파로 오피스텔이 폭발하여 생긴빚이 약 75억 5천만원 정도....	與執行委員R的關係很僵,且認為使用撲克牌和小丑的其獨有打鬥方式要高於執行委員S。不過在自宅打鬥引發整座公寓爆炸後,產生了75億6千萬的債務。
이전 TheSix였던 성기사의 제자이자 집행위원장인 S, 문기주는 성검 발뭉을 무기로 지니고 있다. 그의 한쪽 눈의 흉터는 17년전 진태진과의 싸움에서 박무진(봉)의 프렌드실드 덕에 생긴것이라고 한다.	上一屆The Six成基沙弟子的執行委員S——文其洙使用的武器是聖劍巴魯蒙格。 17年前與陳太晨的對決過程中被朴武真(峰)當作盾牌後,在眼睛處落下了傷疤。
메딕 힐은 생체 나노입자와 차력을 활용하여 갓 오브 하이스쿨 참가자들을 치유하는 든든한 도우미이자, 위급한 상황에서는 참가자들을 돕기도 하는 든든한 원군이다.	護士敘兒注射活納米粒子和借力來治療高校之神參賽者,在危機時刻還是援助參賽者的有力後盾。
메딕 사이는 메딕 힐과 함께 생체 나노입자를 이용하여 참가자들을 치유를 하기도 하며, 참가자들의 최대 생명력까지 고려한 굉장히 뛰어난 간호사로서의 역량을 자랑한다.	護士莎伊與敘兒一起注射活納米粒子來治療參賽者,且可以使參賽者保持最大生命力的出色醫務人員。
리뉴얼 태권도의 창시자이자, 백호부대의 대장으로 길가메쉬 작전 수행을 위해 북한에 갔으나.. 그 "사건"으로 부대원 전부를 잃고 홀로 생환했다. 진모리 등장 이전까지 리뉴얼 태권도를 사용할 수 있는 단 1명의 생존자 진태진.	新式跆拳道創始人及白虎隊隊長,為了執行吉爾伽美什任務親赴北朝鮮,結果只有其一人生還。陳毛利出現之前,陳太晨是唯一可以使用新式跆拳道的生存者。
진태진의 스승이자, 1인 전투 보병이 1소대와 맞먹는 전투력을 지닌다는 ITF 태권도를 마스터. 북한에서도 빠른 스피드와 강력한 공격력, 특별한 그 실력을 인정받아 전사로 추출된 남파 공작원이다.	陳太晨的師父,且一人可抵一小分隊兵力的北​​派跆拳道大師。以速度快、攻擊力強而著稱,是被派到南朝鮮的特工。
용마루를 이용해 오래국 에너지를 모으기 위해 파견된 비숍. 창이 본체이며, 창 전체가 탐(貪)으로 이뤄져 상대의 힘을 흡수해 자신의 힘으로 만드는 특별한 능력을 지니고 있다.	是為了利用龍脊收集傲來國能量而派到此處的主教。長槍是其本體,並以貪念構成,具有吸收對方的力量後變成自己力量的特殊技能。
리수진은 녹스에서 포섭해 간 두 번째 열쇠.. 상대의 차력을 봉인할 수 있는 판도라의 주인이다. ITF 태권도를 훔쳐간 남조선에 악감정을 품고 있으며, 자신의 ITF 태권도로 진모리를 꺾고자 한다.	李秀珍是諾克斯收買的第二把鑰匙,而且是可封印對方借力的潘多拉的主人。對偷學北派跆拳道的南朝鮮懷恨在心,於是想使用北派跆拳道打倒陳毛利。
투신 삼태자 중 첫째 아르둔. 신들의 명을 받아 요괴를 처치하는 일을 한다. 그의 현무 강요저는 과거 천상대전에서 우마왕을 참패시켰던 기술로 엄청난 파괴력을 자랑하며 바르바듐으로 이뤄진 몸 탓에 엄청난 방어력까지 소유하였다.	鬥神三太子之長，阿頓。受神明所託負責處理妖怪事宜。曾在過去的天上大戰中使用降妖杵擊敗了牛魔王，其身軀也由含鈦合金構成，具有超強的防御力。
투신 삼태자 중 둘째 룟. 천진난만하게 전투 자체를 즐기는 어린아이같은 모습을 지니고 있지만 얼음을 이용한 날카로운 공격을 하거나 아군을 재생시키는 특별한 힘으로 적을 섬멸하곤 한다.	鬥神三太子之次，略特。雖然外表上看去好似天真爛漫的孩童，實則使用冰塊進行攻擊，或者恢復受傷的友軍來打敗敵人。
투신 삼태자 중 셋째 좌라. 용암 바하무트를 소환한 강력한 공격력을 자랑하는데 자신보다 강한 적을 만날 때 마다 더 큰 희열을 느낀다. 간혹 위협을 감지하면 화신으로 변화 후 더욱 강력한 힘으로 적을 제압한다.	鬥神三太子之末，佐拉。能夠召喚熔岩巴哈姆特，具有強悍的攻擊能力。在遇到比自己還要強的對手時會感到興奮。當感知到危機時會變為火神形態，用強化的力量擊潰敵人。
강력한 진태진을 녹스의 일원으로 만들기 위한 비숍 상만진의 계략에 의해 한쪽 팔을 잃은 진태진. 하지만 힘을 흘리지 않고 사용할 수 있는.. 새로운 무투의 경지에 도달.. 그의 강함은 알 수 없는 수준이 되었다.	常萬真欲將陳太晨招入諾克斯而設下了詭計，最終使陳太晨失去了一臂。但是他達到了不會失去力量的新的武鬥的境界，其實力已經超出想象。
상대의 차력을 봉인할 수 있는 판도라의 주인 리수진. 그녀는 ITF의 기술과 함께 차력 판도라의 변형된 형태 중 하나인 판도라의 갑주를 이용하여 상대의 차력을 약화 시키거나 반사하는 강력한 능력을 지니고 있다.	能夠封印對方的借力的潘多拉的主人，李秀珍。她不僅是北派跆拳道的高手，還利用潘多拉的亞形態中的潘多拉甲胄來弱化敵人的借力，或者反射敵人的攻擊。
R은 박무봉을 배신하고 녹스의 일원으로 들어갔다. 하지만 녹스의 일원이라고 하기에는 너무 수상한 행동들을 보이고 있다. 그는 정말 배신 한것일까 ??	R背叛了朴武峰，加入了諾克斯，成為他們的一員。但是他的所為似乎與諾克斯格格不入。他是當真背叛了嗎？
제천대성 진모리가 오래국 시민들과 할아버지를 모두 구하기 위해 만든 분신으로 처음에는 분신으로써 본체가 돌아오기까지의 대용품이었으나, 한대위와 유미라에게 휘모리라는 이름을 받고 휘모리라는 별개의 인격체로 대우하면서 점점 자신만의 자아와 '이들과 함께 살고 싶다'라는 감정이 생기게 되었고, 이젠 휘모리 자신만의 길을 걷기 시작했다.	齊天大聖陳毛利為了保護傲來國民眾和爺爺而做的分身。最初作為分身是本體回歸前的代用品，但是在韓大偉和劉美羅給他起名輝毛利，並將它當做獨立人格之後，逐漸生出了自我意識和“想要和這些人在一起”的感情。如今輝毛利走上了自己的道路。
비숍 리수진을 돕기 위해 오래국에 파견된 프리스트이다. 네크로맨서로써 시체를 되살리는 능력을 지녔다. 오래국 원숭이 요괴들을 대상으로 에너지를 흡수하는 것을 도우러 왔으나 리수진이 녹스를 배신하자 리수진을 공격한다.	為了協助主教李秀珍而派到傲來國的牧師。作為巫師的他,具有使殭屍復活的能力。他派到傲來國是為了協助李秀珍吸收傲來國猴子的能量,可當李秀珍背叛諾克斯時,他又反過來對付李秀珍。
투신 삼태자의 명을 받아 천상군의 일원으로 내려온 천상의 네피림. 요괴를 잡기위해 강력한 전투력으로 무장한 그들은 거대한 칼을 크게 내려치는 특징을 지니고 있다.	受到鬥神三太子之命，作為天界軍的一員而下凡的墮落者。為了捕捉妖怪而全副武裝的墮落者，其特征是將巨劍大力甩下去。
투신 삼태자를 보필하는 천상의 거신. 얼굴을 가리고 있는 거신을 만나게 된다면 가려져 있는 얼굴을 보지 않도록 주의해야한다. 그가 얼굴을 드러냈을 때엔 느리지만 엄청난 파괴력으로 공격할 것이다.	輔佐鬥神三太子的天界巨像。如果遇到遮面的巨像的話要注意不要看到他的面部。當他揭開面紗時，會以無與倫比的破壞力展開攻擊。
천상의 폭군은 투신태자 마저 인정한 공격적인 성향의 천군이다. 그를 만나게 된다면 날카로운 손톱의 공격은 주의해야만 한다.	天界暴君是就連鬥神三太子也承認的激進型天界軍。如果遇到他們的話一定要注意尖銳的指爪攻擊。
녹스 신도 중 한명인 이그니스.. 아직 신도지만 프리스트만큼 강력한 힘을 지니고 있으며, 알 수 없는 어둠의 힘으로 얼굴을 가리고 있는게 특징이다.	伊格尼斯是諾克斯信徒,雖是信徒卻擁有與牧師相等的強大力量,且最大特點是始終用未知的黑暗力量遮臉。
녹스 신도 중 한명인 카난은 프리스트가 되기위해 준비하고 있으며, 언제나 제복차림에 강력한 공격을 한다.	諾克斯信徒卡男正在準備牧師考試,總是穿著制服進行強力攻擊。
NOX의 최고 권위자 The KING. 그의 이름이 알려주듯.. 엄청난 힘의 소유자.. 심지어 그 끝을 알 수 없을정도..	他是諾克斯最高權威者The KING,具有深不可測的超凡能力。
신의라 불리는 나봉침. 과거 진태진과의 전투 중, 한쪽팔을 잃었으나 그의 침술과 전투능력, 그리고 스피드는 누구도 따라가기 힘들 정도.. 진태진에게 복수(?) 차원에서 진모리에게 자신의 침술을 전수하기도 한다.	被稱為神醫的羅峰針,過去與陳太晨的對戰中失去了一隻手臂,可他的針術、對戰能力及速度無人能及,為了向陳太晨報仇(?)將自己的針術傳授給了陳毛利。
전노협(전국 노숙자 협회) 총재 서한량. 그는 다양한 무기에 뛰어난 센스와 활용능력을 지니고 있으며, 특히! 봉술이 매우 뛰어나다. 기억이 돌아온 제천대성 진모리에게 봉술을 가르친 인물도 바로 서한량이다.	全露協(全國露宿者協會)總裁徐閑良。他擅長使用各種武器,尤其擅長棒法,向找回記憶的齊天大聖陳毛利傳授棒法者就是徐閑良。
대마도사라 불리는 전재산. 엄청난 키와 덩치, 그리고 마도사 중 최고의 능력을 인정받아 인간문화재의 자리까지 올라설 정도.. 하지만 강력한 만큼 차력사로서 자부심이 강해 나봉침과 차력, 무투의 우열에 대해 논쟁을 하곤한다.	被稱為大魔法師的全載山。不僅具有魁梧身材,且在魔法師中其能力首屈一指,因而被任命為非物質文化遺產傳承人。對借力師有著強烈的自豪感,經常與羅峰針針對借力及武鬥進行辯論。
얼음파의 건달(자칭: 하늘을 통달한 자) 김두식. 전대(일수 돈가방)를 챙겨 다니는 인물로 언제나 "고객사랑"을 몸소 실천하고 있다. 최근엔 "박무진(봉)"을 고객으로 모시고 있다는 후문이 들리고 있다.	冰派流氓(自稱：悟天道者)金斗植。他的職責是每天去收債來做到“以客戶需求為中心”的理念。據說,現在“朴武真(峰)”是他的客戶。
제갈택은 과거 박일표와의 대결에서 패한 뒤, 박일표에게 라이벌 의식을 지니고 있다. 하지만 경상도의 "카리스마"라고 불릴정도로 강력함! 과 비열함, 잔혹함을 지니고 있다.	諸葛澤在過去的對決中被朴一表打敗後,將朴一表當成了自己的勁敵。稱為慶尚道“魅力男”的他,不僅有魄力,還具有殘酷及卑劣的一面。
녹스의 프리스트 세턴은 귀여운 외모와 달리.. 거대한 십자가 모양의 총을 지니고 있으며, 입만열면 욕이 쏟아져 나오는 인물.. 때문에 평소 다양한 소품을 이용하여 입을 틀어막고 있다.	諾克斯牧師賽頓長著一副可愛的面孔,可她總是攜帶十字架模樣的巨大榴彈槍,而且只要張嘴就會髒話連篇,因此隊友將使用常用的東西來堵上她的嘴。
녹스의 프리스트인 엑슬리는 차력 우열의 방패인 날개를 이용한 저항력은 녹스에서도 인정받을 정도..\n또한 국보 소유자로, 듀란달을 이용한 강력한 공격까지 가능한게 특징이다.	諾克斯牧師埃斯利使用優劣盾牌的翅膀產生的抵抗力阻止一切攻擊。\n他不僅是一位國寶持有者,還可以使用杜蘭朵發動強大攻擊。
상당히 잔혹하고 지저분한 성격을 지닌것으로 보이는 맥도날드는, 차력 재생벌레의 힘으로 잘린 몸을 봉합하여 원래의 상태로 복구하고 있으며 검술 또한 뛰어난 것으로 보여진다.	擁有殘酷邋遢性格的麥克唐納借助再生蟲的力量將切割的身體進行縫合後,恢復原狀,且其劍術也很突出。
딱히 말을 하지 않으며 웃고있는 프리스트 베도베도.. 우스꽝스러운 2등신에 나름 귀여운 표정(?)을 짓고 있지만...\n기괴한 성격과 특별한 차력의 힘으로 상대를 괴롭히는 것을 즐기는 위험한 인물이다.	不說話只以微笑答對的牧師貝多貝多,身材矮小的他總是做出一副可愛(?)的表情,\n但是他又是一位喜歡使用特殊借力來折磨對方的危險人物。
가스 분출자 프리스트 츠바. 그가 이상한 액션을 취하며 가스를 살포할때엔 어떻게든 피해야 할것이다. 가끔이기는 하지만 그의 혼돈에 빠지게 되면 적군과 아군을 구별조차 못하게 되니, 꼭 츠바를 기억해야 한다.	噴射氣體的牧師茲巴,在他採取獨特的能力噴射氣體時無論如何都要避開。如果偶爾陷入其中就會分不清敵軍與我軍,所以一定要記住茲巴。
성지의 비밀을 안고있는 데베메. 그는 신에게 절대 복종하는 의리의 사나이. 하지만 마음 한켠에는 언제나 뜨거운 승부에 대한 갈증이 남아있다. 하지만 그에게는 뛰어난 무투능력이 있으니.. 섣부르게 덤비는건 매우 위험하다.	知道聖地秘密的德貝麥,他是對神無條件服從的義氣少年。但是內心中總有一股對勝負的熱切渴望,他出色的武鬥能力如果被輕視的話會變得很危險。
할아버지인 진태진에게 리뉴얼 태권도를 전수받은 진모리는 무패의 신화를 가지고 있었으나, 집행위원 R 에게 패배한 것을 계기로 "갓 오브 하이스쿨"에 참여하게 되었다.	從爺爺陳太晨那裡所學的新式跆拳道讓陳毛利成為了不敗神話,因為敗給了執行委員R,所以參加了 "高校之神"比賽。
전설의 매드카우로 함께 활약하던 절친 우승태의 치료를 위해 갓오브하이스쿨에 참여하게 된 한대위는 사용무술은 극진 공수도로, 극진류 오의 사신무(四神舞)를 사용한다.	為了給好友吳勝泰治病而參加"高校之神"的瘋牛韓大偉所使用的武術是極真空手道,極真流奧義四神舞為他所用。
월광검법 25대 계승자인 유미라는 아버지에게 유품으로 받은 국보 봉선의 주인이기도 하다. 유미라가 갓오브하이스쿨에 참여하게 된 이유는 월광검법의 부흥을 위한 좋은 씨앗(!?)을 얻기 위해서라고.....	月光劍法第25代繼承人劉美羅是從爸爸的遺物中獲得國寶奉先的主人,劉美羅參加"高校之神"的理由是為了復興月光劍法而尋找最好的種子(!?).... .
천재 백승철. 그는 공부에 전념했었으나, 15세가 되던 무렵 현실의 정의실현을 위해서는 힘이 필요한 사실을 깨닫고 득도 하였으며, 자신의 힘을 확인해 보기 위해 갓 오브 하이스쿨에 참여하게 된다.	天才白勝哲。他只專心於學習,15歲的時候,認識到了在現實中為了實現正義是需要力量的事實,為了證明自己的力量而參加了"高校之神"。
할아버지인 박일태상병이 RE태권도를 이용해 택견의 약점을 보완한 쌈수택견을 사용한다. 박일표는 제갈택에 의해 다리부상을 당한 박승연의 치료를 위해 GOH에 참전하게 된다.	他使用的決然手跆跟是爺爺朴日泰利用新式跆拳道完善古式跆跟的新式招法。朴一表為了治療因諸葛澤而腿部受傷的朴勝妍而參加的"高校之神"。
외모와 어울리지 않는 무시무시한 레슬링 기술을 자랑하는 마미선은 집행위원들을 ‘자신의 것’으로 만들기 위해 갓 오브 하이스쿨에 참여하였다.	擁有與外貌有些出處的可怕摔角技術的馬美善,為了把執行委員們變成‘自己的’而參加了"高校之神"。
태극권을 사용하며 언제나 존댓말을 사용하는 바른 사나이 고감도는 양심 없는 조폭들에게 법의 심판을 주기 위해 갓 오브 하이스쿨에 참여하였다.	使用太極拳並無論何時都使用敬語的小伙子高甘都,為了讓沒有良心的黑幫能接受法律的審判而參加了"高校之神"。
