나를 지켜줘	十里重生
챔피언 패키지"	"復仇暗影
프리미엄 패키지	高級禮包
럭서리 패키지	豪華禮包
밸류 패키지	超值禮包
하루 2배속급 전투	1天內2倍速度加速戰鬥
자동 정화의 결정피버"	"30天內2倍速度加速戰鬥
30일 2배속급 전투	30天內2倍速度加速戰鬥
럭서리 패키지"	"烈火女巫
데빌 패키지"	"烈火女巫
유물 패키지"	"烈火女巫
축복 패키지"	"烈火女巫
챔피언 패키지"	"烈火女巫
80	80
500	500
1560	1560
3300	3300
8500	8500
19000	19000
3개 캐릭터 전설무기 총 3개 + 정화의 결정 10만 + 강화석 100개 + 보석 1200개	3個英雄的傳說武器(共三件)+10萬淨化晶石+100個強化石+1200個寶石
유물무기 1개 + 강화석 100개 + 보석 1200개	1件神器武器+100個強化石+1200個寶石
플래티넘박스 + 보석 500개	白金箱子+500個寶石
유물무기 7개 + 데빌박스 + 강화석 1000개 + 보석 8000개	7件神器武器+惡魔箱子+1000個強化石+8000個寶石
유물무기 3개 + 데빌박스 + 강화석 500개 + 보석 4000개	3件神器武器+惡魔箱子+500個強化石+4000個寶石
유물무기 1개 + 데빌박스 + 강화석 250개 + 보석 2000개	1件神器武器+惡魔箱子+250個強化石+2000個寶石
130	130
715	715
광고 없이 24시간	24小時內無廣告
용의 소녀의 락앤롤!	龍之少女的搖滾！
광고 없이 30일	30天內無廣告
캐릭터와 스킬	英雄和技能
레벨	等級
등급업	排名上升
Lv.	Lv.
영혼 부족	靈魂不足
Lv + 1	Lv + 1
참가해제	解除添加
참가	添加
배우기	學習
등급 {0}/{1}에서 획득	按照等級吸收{0}/{1}
미습득	尚未學習
해제불가	無法解除
정화의 결정 수입	輸入淨化晶石
의리	忠誠
쿨타임	冷卻時間
의지가 없음	喪失意志
측정거부	拒絕測定
저질	低品質
엄청남	優質
등급 업!!	等級提升！！
참가불가	無法參加
초	秒
착용	穿戴
착용효과	穿戴效果
컬렉션효과	集滿效果
보유개수	擁有數量
상세보기	查看詳情
미보유	尚未擁有
컬렉션 효과 합계	集滿效果合計
강화석 부족	強化石不足
착용중	正在穿戴
노멀	普通
레어	稀有
에픽	史詩
유물	神器
체력	體力
공격력	攻擊力
방어력	防禦力
치명타 확률	暴擊機率
치명타 피해	暴擊閃避
명중률	命中機率
회피율	閃避機率
공격속도	攻擊速度
이동속도	移動速度
용의 소녀 정화의 결정 획득	龍之少女獲得淨化晶石
용의 소녀 레벨업 비용감소	減少龍之少女的升級費用
캐릭터 레벨업 비용감소	減少英雄的升級費用
용의 소녀 정화의 결정획득 시간감소	縮短龍之少女獲得淨化晶石的時間
환생시 영혼 획득	重生時獲得靈魂
비전투중 이동속도	非戰鬥時的移動速度
파티원 체력	隊員體力
파티원 공격력	隊員攻擊力
파티원 방어력	隊員防禦力
파티원 치명타 확률	隊員暴擊機率
파티원 치명타 피해	隊員暴擊閃避
파티원 명중률	隊員命中機率
파티원 회피율	隊員閃避機率
파티원 공격속도	隊員攻擊速度
파티원 이동속도	隊員移動速度
공격속도 증가	提升攻擊速度
레벨 증가	等級提升
파티원 레벨 증가	隊員等級提升
무기 상점	武器商店
열기	開啟
다시 열기	再次打開
구매	購買
개 무료	個可免費
오늘의 핫딜!!	今日特惠！！
상품 구성	商品組成
소진되었습니다"	"所準備的商品已全部
신규 상품 준비 중	正在準備新商品。
모험을 통해 상자를 획득하세요	請通過冒險獲得箱子。
청약 철회는 미사용 시, 구매 후 7일 이내에 할 수 있습니다	在購買後7天之內，且未使用商品時可撤銷預購。
보석 부족	寶石不足
매진	售完
충전	儲值
환생할수록	重生次數越多
멀리 갈수록	走的更遠
지를수록 힘이 솟구친다!	投入越多，能力提升越多！
구매 가능까지	最多可購買
구매 불가	無法購買
파티레벨	隊伍等級
더 많은 스테이지까지 모험할수록 파티레벨이 올라갑니다	過的關卡越多，隊伍等級提升越高。
최고 도달 스테이지	最高過關關卡
환생 횟수	重生次數
누적 영혼 획득량	累積靈魂獲得數量
파티원 보너스	隊員獎勵
경제 보너스	經濟獎勵
성공했습니다 !!"	"重生
지난 번 모험에서 얻은 영혼들로 별등급과 스킬을 올릴 수 있습니다.	可以使用在上次冒險中獲得的靈魂升星或升級技能。
보상	獎勵
확인	確認
환생하고 강해지시겠습니까?	是否要重生變強？
강해지시겠습니까?	是否要變強？
현재 도달 스테이지	目前過關關卡
환생 시 보상	重生獎勵
모험 진행이 느려지면 환생을 하는 편이 유리합니다."	"重生後英雄等級變為1級，
보상 2배 환생	2倍獎勵重生
~!!"	"快來重生，
도전 과제	成就
보상받기	獲得獎勵
완료	完成
옵션	設定
플레이어 ID :	玩家ID:
프로필	簡介
음악	音樂
효과음	音效
켜짐	打開
꺼짐	關閉
언어	語言
연결	連接
연결됨	已連接
구글플레이	谷歌市場
게임센터	遊戲中心
이용약관	使用條款
게임 문의	遊戲諮詢
제작진	製作團隊
버전정보 :	版本資訊:
자리를 비우신 동안 많은 보상을 획득했어요!	離開遊戲期間獲得大量獎勵！
환영합니다!	歡迎！
진행된 스테이지	正在進行的關卡
획득한 정화의 결정	獲得的淨化晶石
정화의 결정 2배 추가수령	領取兩倍淨化晶石
부자된 기분입니다~	感覺自己變得很富有~
광고보기	查看廣告
획득 !	獲得！
전투배속	戰鬥速度
기준 스테이지 :	起始關卡：
무기 부족	武器不足
푸시 알림	推播通知
닫힘	關閉
착용효과 (Lv.1)	穿戴效果(Lv.1)
컬렉션 효과 (Lv.1)	集滿效果(Lv.1)
언어 변경은 재실행 후에 반영됩니다	更改語言，重新啟動後生效
STAGE	STAGE
최고등급	最高等級
최고레벨	最高級別
MAX	最大
환생 횟수에 따른 용의 소녀 정화의 결정획득 시간감소 :	龍之少女獲得淨化晶石的時間根據重生次數逐級縮短：
오프라인 시 한계 스테이지 :	離線時關卡極限：
조건미달	未滿足條件
캐릭터 구매	購買英雄
보석으로 구매	使用寶石購買
영혼으로 구매	使用靈魂購買
레벨 업	提升等級
초당	每秒
남은 개수	剩餘數量
좀 더 놀다가 가!	再玩一會！
떠나실 건가요?	要走了嗎？
매일	每天
서비스 점검 중입니다. 잠시 후 다시 접속해 주세요.	正在維護中。請稍後重試。
현재 플레이 중인 데이터가 삭제됩니다. 계속하시겠습니까?	刪除目前遊戲資料。是否繼續？
구글플레이 계정 :	谷歌市場帳戶：
페이스북 계정 :	臉書帳戶：
[게임문의] '딜딜딜' 게임 관련 문의	[遊戲諮詢] 「追追追」遊戲相關諮詢
유저 ID :	用戶ID:
감사합니다."	"如果刪除上述資訊，將無法獲得正常服務。
이미 지급된 상품입니다.	已購買商品。
상점에서 해당상품의 받기 버튼을 터치하여 수령해 주세요."	"已購買商品。
받기	接收
확인 버튼을 누르면 게임이 다시 실행됩니다."	"已啟動綁定帳戶。
네	是
아니오	不
기존계정 불러오기	載入已有帳戶
서버와의 연결이 끊어졌습니다. 잠시 후 다시 접속해 주시기 바랍니다.	與伺服器斷開連接。請稍後再嘗試連接。
현재 광고를 준비하고 있습니다. 약 5초 후 다시 시도해 주세요.	正在準備廣告。5秒後，請重新嘗試。
쉬어가기	休息
아이템 희귀도	道具稀有度
같은 등급의 무기들은 서로 특징이 다를 뿐, 능력치의 우열을 가리기는 힘듭니다.	相同級別的武器屬性有所不同，但能力值相似。
컬렉션 효과는 무기를 가지고만 있어도 적용됩니다. 심지어 전투에 투입하지 않더라도요! 모든 무기를 모으고 레벨업 해야 하는 이유죠!	只要擁有相關武器，即使英雄不參加戰鬥也能啟動集滿效果！這就是需要收集所有武器並將其升級的理由！
변경	更改
NEW	NEW
메일을 보낼 수 있는 앱이 필요합니다.	需要可發送信件的應用程式。
커뮤니티	社群
보너스	獎勵
적용 중	正在使用
딜러는 바로……"	"勇士們評選出來的
천위의 기사 !!	天國騎士！！
안되지~안돼~"	"呵呵呵，
없지ㅋㅋㅋ"	"不能放任不管啊。
[NOT USED]	[NOT USED]
잡히면 죽는다 !!!	如果被我抓到，你就死定了！！！
환생 시 영혼획득 보너스 :	重生獲得的靈魂獎勵：
상점 무기 상자 보너스 :	商店武器箱子獎勵：
이벤트	活動
일	天
시간	小時
분	分
전	之前
3일 21시간 15분 전	3天21小時15分鐘之前
보낸사람 :	寄件者：
메시지는 10건까지, 선물이 포함된 메시지가 있으면 30건까지 보관됩니다. 메시지는 최대 10일 동안 보관됩니다.	信箱最多可保管10則資訊，包含禮物的資訊最多可保管30件。資訊最多可保管10天。
커뮤니티	團隊
광고 준비 중	正在準備廣告
보상은 준다."	"沒有廣告。
닉네임 변경	更改暱稱
닉네임을 입력하세요	請輸入暱稱。
* 닉네임은 한글 여덟자까지 가능합니다	* 暱稱最多可輸入8個韓文字。
* 비속어, 불건전한 단어 사용 시 게임 이용이 불가할 수 있습니다	* 使用不雅或敏感詞彙可能導致帳戶無法使用。
닉네임은 2글자 이상이어야 합니다	暱稱需兩字以上。
특수문자는 사용할 수 없습니다	禁止使用特殊文字。
닉네임이 변경되었습니다	暱稱已更改。
* 닉네임을 처음 만들면 300 보석을 드립니다	* 首次填寫暱稱可獲得300寶石。
정지 기간 :"	"帳戶已被禁止使用。
알림	通知
연결이 끊어졌습니다.	連接已斷開。
초기화	重置
계속 진행하시겠습니까?"	"帳戶已重置。
대상 길드원을 마스터로 승급합니다. 본인은 부마스터로 변경됩니다. 계속 하시겠습니까?	將本公會成員任命為會長。本人變為副會長。是否繼續？
참여 파티원	參與隊員
정화의 결정 피버 보석 획득	自動拾取淨化晶石寶石
D	天
h	小時
m	分鐘
s	秒
최대레벨	最高等級
네트워크에 연결되어 있지 않습니다. 1분 뒤 재접속을 시도 하며, 확인 버튼을 누르면 즉시 재접속을 시도합니다.	網路已斷開。1分鐘後再嘗試連接，點擊確認鍵，立即嘗試再連接。
사용이 정지된 계정입니다.\n정지 기간 : {0} ~ {1}	帳戶已被禁止使用。\n禁止時間 : {0} ~ {1}
새로운 버전이 업데이트 되었습니다. 다운로드 받아 주세요.	已更新至最新版本。請接收下載。
퀴즈	問題
퀴즈 정답 입력	輸入答案
맞춘다면 선물을 지급해드립니다~"	"請輸入正確答案~
틀린 것 같아요~	好像錯了哦~
이미 맞췄던 답인거 같네요~	已答對過此問題~
로딩…	載入……
게임 플레이를 위한 약관 동의가 필요합니다.	同意相關條款後，才能開始體驗遊戲。
(광고성 푸시 수신 동의 포함)"	"追追追服務使用條款
딜딜딜 개인 정보 취급 방침	追追追個人資訊蒐集方針
퀴즈 보상입니다~	答題獎勵~
퀴즈 보상을 받았습니다.	已領取答題獎勵。
사용할 수 없는 닉네임입니다.	暱稱無法使用。
다른분이 사용하고 있는 닉네임입니다.	暱稱已被使用。
현재 사용 중인 닉네임입니다.	目前使用的暱稱。
한계 스테이지에 도착했어요! 레벨업 해주세요!	已達到關卡極限！請升級！
던전으로 떠날 준비가 되었어요!	已準備好離開迷宮！
유이나가 기다리고 있어요!	尤伊娜正在等你！
나를지켜줘	十里重生
도달 시 구매 가능"	"過100關後
후 +1	後+1
던전에서는 캐릭터 레벨이 1로 적용됩니다. 등급, 스킬, 무기는 그대로 유지됩니다.	迷宮中英雄等級為1級。等級、技能、武器保持不變。
열림	開啟
열리는 날	開啟日期
월	星期一
화	星期二
수	星期三
목	星期四
금	星期五
토	星期六
일	星期日
모든 무기	全部武器
무기"	"天國騎士
무기"	"靈魂守護者
무기"	"雷霆智者
무기"	"詛咒獵人
입장	入場
계속하기	繼續
던전 보상	迷宮獎勵
보상 구성	獎勵內容
열쇠 구매	購買鑰匙
1개 구매	購買1個
던전을 입장할 때 쓰는 열쇠입니다. 2시간마다 하나씩 얻을 수 있지만, 지금 당장 구매해서 들어가면 더 운이 좋을지도요!	進入迷宮所需的鑰匙。每2個小時可獲得1個鑰匙，也可立即購買隨時進入！
UI_Dungeon_025	UI_Dungeon_025
열쇠부족	鑰匙不足
입장 불가	無法進入
가자!	出發！
파티원 선택	選擇隊員
자세히	詳情
보상 리셋	獎勵重置
나가기	退出
선택은 언제나	選擇總是
어려워	困難的
리셋을 시킬 수도 있습니다."	"選擇不同路口，
UI_Dungeon_037	UI_Dungeon_037
나가면 진행 중인 정보는 초기화됩니다."	"確定將退出迷宮嗎？
클리어	過關迷宮
얻지 못한 다른 보상을 선택할 수 있습니다."	"恭喜。
무기"	"復仇暗影
무기"	"烈火女巫
영혼의 쉼터	靈魂聖殿
무기들의 무덤	武器之墓
폭도의 광산	暴徒礦山
나쁜 냥이들	邪惡貓咪
유령 박쥐	幽靈蝙蝠
쉼터의 수상한 상자	聖殿裡奇怪的箱子
무덤의 수상한 상자	墳墓裡奇怪的箱子
광산의 수상한 상자	礦山裡奇怪的箱子
몸 좀 풀어 볼까?!!	來較量一下？！！
첫 번째 딜러	首位英雄
천위의 기사 등장!	天國戰士登場！
모험은 기다려주지 않는다!!"	"去廁所可以等，
세 번째 딜러	第三位英雄
영혼 순찰자 등장!	靈魂守護者登場！
패싸움이지!!"	"時間治癒？
두 번째 딜러	第二位英雄
번개 대현자 등장!	雷霆智者登場！
……콜록"	"你……想……咳咳
금융, 회계, 전산 전문가	金融、會計、電子專家
용의 소녀 등장!	龍之少女出場！
무기 1개	1件武器
무기 3개	3件武器
무기 7[FFEE5DFF]+1[-]개	7件武器[FFEE5DFF]+1[-]件
무기 7[FFEE5DFF]+2[-]개	7件武器[FFEE5DFF]+2[-]件
무기 7[FFEE5DFF]+3[-]개	7件武器[FFEE5DFF]+3[-]件
무기 22개	22件武器
무기 22[FFEE5DFF]+2[-]개	22件武器[FFEE5DFF]+2[-]件
무기 22[FFEE5DFF]+4[-]개	22件武器[FFEE5DFF]+4[-]件
무기 22[FFEE5DFF]+7[-]개	22件武器[FFEE5DFF]+7[-]件
무기 22[FFEE5DFF]+9[-]개	22件武器[FFEE5DFF]+9[-]件
무기 55개	55件武器
무기 55[FFEE5DFF]+6[-]개	55件武器[FFEE5DFF]+6[-]件
무기 55[FFEE5DFF]+11[-]개	55件武器[FFEE5DFF]+11[-]件
무기 55[FFEE5DFF]+17[-]개	55件武器[FFEE5DFF]+17[-]件
무기 55[FFEE5DFF]+22[-]개	55件武器[FFEE5DFF]+22[-]件
무기 23개	23件武器
무기 62개	62件武器
무기 58개	58件武器
무기 56개	56件武器
번개 대현자 전설무기 각 1개"	"天國騎士、靈魂守護者、
1개"	"1件
상자"	"白金
저주 사냥꾼	詛咒獵人
전설무기 2개	2件傳說武器
유물무기 14개	14件神器武器
유물무기 18개	18件神器武器
유물무기 2개	2件神器武器
전용 전설무기 2개	2件專用傳說武器
에픽무기 또는 상위등급	史詩武器或更高等級
1200	1200
200	200
150	150
전용 에픽무기 4개	2件專用史詩武器
10만	10萬
100	100
800	800
8000	8000
4000	4000
2000	2000
7개 ~ 12개	7個-12個
8개 ~ 14개	8個-14個
9개 ~ 16개	9個-16個
10개 ~ 18개	10個-18個
20개 ~ 30개	20個-30個
30개 ~ 50개	30個-50個
40개 ~ 70개	40個-70個
50개 ~ 90개	50個-90個
60개 ~ 110개	60個-110個
120개 ~ 150개	120個-150個
140개 ~ 170개	140個-170個
160개 ~ 190개	160個-190個
180개 ~ 210개	180個-210個
200개 ~ 230개	200個-230個
80개	80個
500개	500個
130개	130個
715개	715個
1560개	1560個
3300개	3300個
8500개	8500個
19000개	19000個
19%	19%
확정 지급	確定支付
50%	50%
55%	55%
60%	60%
65%	65%
70%	70%
72%	72%
79%	79%
